"Story","Title","Result","Date","Stability","Duration (s)"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Prueba","PENDING","2022-11-03T23:29:05.4792821-05:00[America/Bogota]","0.0","0.15"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Automatizar el escenario propuesto para la prueba tecnica","PENDING","2022-11-03T23:53:23.1287729-05:00[America/Bogota]","0.0","0.2"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Realiza el primer ingreso al carrito","SUCCESS","2022-11-04T22:45:12.5654511-05:00[America/Bogota]","0.0","24.59"
