"Story","Title","Result","Date","Stability","Duration (s)"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Prueba","PENDING","2022-11-03T23:29:05.4792821-05:00[America/Bogota]","0.0","0.15"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Automatizar el escenario propuesto para la prueba tecnica","PENDING","2022-11-03T23:53:23.1287729-05:00[America/Bogota]","0.0","0.2"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Realiza el primer ingreso al carrito","ERROR","2024-01-15T22:15:23.6849391-05:00[America/Bogota]","0.0","4.7"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega dos productos al carrito","ERROR","2024-01-15T22:15:28.6275334-05:00[America/Bogota]","0.0","2.05"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega 3 productos al carrito","ERROR","2024-01-15T22:15:30.698151-05:00[America/Bogota]","0.0","2.9"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega 4 productos al carrito","ERROR","2024-01-15T22:15:33.6255524-05:00[America/Bogota]","0.0","2.75"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega 5 productos al carrito","ERROR","2024-01-15T22:15:36.4676264-05:00[America/Bogota]","0.0","2.03"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega 6 productos al carrito","ERROR","2024-01-15T22:15:38.5288112-05:00[America/Bogota]","0.0","2.48"
