"Story","Title","Result","Date","Stability","Duration (s)"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega dos productos al carrito","SUCCESS","2022-11-04T21:01:15.2083445-05:00[America/Bogota]","0.0","28.43"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega 3 productos al carrito","SUCCESS","2022-11-04T21:10:18.5981745-05:00[America/Bogota]","0.0","22.8"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega 4 productos al carrito","FAILURE","2022-11-04T22:06:30.5393042-05:00[America/Bogota]","0.0","31.71"
